Identifier,Age,Education,Indutry_Groups,Industry_Domain,Marital_Status,Occupation,Customer_Segment,Gender,Metropolitan_City,Residence,Insurance_Product_type,Insurance_Acquisition_Channel,Active_Bank_Products,Total_Bank_Products,Commercial_Loan,Consumer_Auto_Loan,Mortgage_Loan,Personal_Loan,Credit_Card,Deposit,Pre-Approved Auto Limit,Pre-Approved Mortgage Limit,Pre-Approved Personal Limit,Tenure_with_Bank_Group,Tenure_of_Insurance,Salary_Amount,Credit_Limit,Total_Asset_Under_Mngmnt,Avg_Monthly_Balance,Application_Score,Behavioural_Score
4788,31.9,Primary School,Production/Manufacturing,Catering/Restaurant/Fast Food,MARRIED,Non- Government Job,Individual,Male,Bengaluru,Living in a house owned by a family member,Theft Insurance for Credit Card,Bank,3,5,0,0,0,1,1,0,MISSING,MISSING,MISSING,<=10 YRS,3.03,12145.23,80000,1490.08,6119.81465,395,717
4790,51.7,University,Services,Education,MARRIED,Self Employed,Individual,Female,Others,Own House,Auto Insurance,Direct,3,3,0,0,0,0,0,0,MISSING,MISSING,MISSING,<=2 YRS,5.59,28800,74700,12.53,408.5630303,332,585
4791,57.3,Graduate and Higher,Trade/Merchandise,Information & Techonology,MARRIED,Non- Government Job,Individual,Male,Bengaluru,Living in a house owned by a family member,Health Insurance,Bank,0,0,0,0,0,0,1,0,">480,000",">=5,000,000","<1,500,000",<=5 YRS,1.89,NA,NA,0,715.62,404,707
4792,42.8,University,Services,Finance,MARRIED,Non- Government Job,Individual,Male,Mumbai,Living in a house owned by a family member,Theft Insurance for Credit Card,Bank,3,4,0,0,0,1,1,0,MISSING,MISSING,MISSING,>10 YRS,1.91,40800,99900,210.4,15350.09823,341,678
4793,29.7,Intermediate,Production/Manufacturing,Manufacturing,MARRIED,Non- Government Job,Individual,Male,Hyderabad,Living in a house owned by a family member,Credit Card Insurance,Bank,2,3,0,0,0,1,1,0,"<240,000","<1,000,000","<1,500,000",<=10 YRS,2.19,23733.33334,57600,112.91,374.690303,366,706
4794,43.2,University,Services,Finance,MARRIED,Non- Government Job,Privilege Banking,Male,Bengaluru,Living in a house owned by a family member,Home Insurance,Direct,>=5,>=6,0,0,1,0,1,1,">480,000",">=5,000,000",ZERO,<=10 YRS,4.47,152907.39,201600,172812.22,281557.072,370,666
4795,41.4,High School,Production/Manufacturing,Petrochemicals,DIVORCED,Non- Government Job,Individual,Male,Bengaluru,Living in a house owned by a family member,Home Insurance,Direct,4,4,0,0,0,1,1,1,MISSING,MISSING,MISSING,<=10 YRS,1.86,9721.53,NA,3825.28,10154.72486,359,577
4796,39.8,University,Construction,Construction,MARRIED,Non- Government Job,Privilege Banking,Male,Hyderabad,Own House,Home Insurance,Direct,>=5,>=6,0,0,1,0,1,1,">480,000",">=5,000,000",ZERO,>10 YRS,10.85,77180.31,413000,305419.77,85631.09063,370,685
4797,37.9,University,Services,Finance,MARRIED,Non- Government Job,Individual,Female,Bengaluru,Living in a house owned by a family member,Home Insurance,Direct,>=5,>=6,0,0,0,1,0,0,MISSING,MISSING,MISSING,<=10 YRS,1.85,23233.76,96800,1396,48541.76596,394,635
4799,32.2,Graduate and Higher,Services,Finance,DIVORCED,Non- Government Job,Privilege Banking,Male,Bengaluru,Living in a house owned by a family member,Credit Card Insurance,Direct,>=5,>=6,0,0,0,0,1,1,MISSING,MISSING,MISSING,<=5 YRS,2.71,30659.44,171000,158967.09,6412.168106,413,712
4800,43.3,University,Services,Unknown,MARRIED,Non- Government Job,Individual,Male,Others,Company Provided Housing,Home Insurance,Direct,3,4,0,0,0,0,1,0,MISSING,MISSING,MISSING,>10 YRS,2.88,49556.96,68800,41465.13,1880.623636,357,714
4801,37.6,University,Services,Health,MARRIED,Non- Government Job,Individual,Female,Bengaluru,Living with Family,Auto Insurance,Bank,2,2,0,0,0,0,0,0,">480,000",">=5,000,000",ZERO,<=5 YRS,1.86,43811.74,NA,0,963.2106064,362,577
4802,27.2,University,Services,Education,SINGLE,Self Employed,Privilege Banking,Female,Bengaluru,Own House,Small and Medium Enterprises Insurance,Bank,2,3,0,0,0,1,0,0,MISSING,MISSING,MISSING,<=2 YRS,1.75,NA,NA,13570.48,329274.9744,352,659
4803,67.4,Graduate and Higher,Trade/Merchandise,Domestic Trade,MARRIED,Retired but still working,Individual,Male,Bengaluru,Living with Family,Auto Insurance,Direct,2,4,0,0,0,0,0,1,MISSING,MISSING,MISSING,>10 YRS,8.20,82500.12,119000,72876.65,1602.829091,387,719
4805,33.5,No Education,Production/Manufacturing,Automotive,MARRIED,Non- Government Job,Individual,Female,Ahmedabad,Living with Family,Auto Insurance,Direct,2,3,0,0,0,0,0,1,">480,000",">=5,000,000",ZERO,<=10 YRS,7.95,16975.42,27000,15768.18,2666.834546,334,684
4807,29.2,High School,Production/Manufacturing,Catering/Restaurant/Fast Food,DIVORCED,Non- Government Job,Individual,Female,Bengaluru,Living with Family,Health Insurance,Bank,>=5,5,0,0,0,0,1,1,MISSING,MISSING,MISSING,<=10 YRS,1.42,10308.56,59400,81814.81,24709.29926,388,616
4808,54.9,High School,Production/Manufacturing,Catering/Restaurant/Fast Food,MARRIED,Non- Government Job,Individual,Male,Bengaluru,Living in a house owned by a family member,Auto Insurance,Bank,>=5,5,0,0,0,1,1,1,MISSING,MISSING,MISSING,>10 YRS,9.53,11572.26,70200,8438.92,15763.68123,365,633
4809,41.1,Graduate and Higher,Services,Tourism,MARRIED,Non- Government Job,Individual,Male,Bengaluru,Living in a house owned by a family member,Health Insurance,Direct,>=5,>=6,0,0,0,1,1,1,"<480,000","<2,500,000",ZERO,>10 YRS,13.06,23359,37800,139707.92,31449.39191,379,697
4810,38.5,Graduate and Higher,Production/Manufacturing,Manufacturing,MARRIED,Non- Government Job,Individual,Male,Others,Own House,Auto Insurance,Direct,3,4,0,1,0,1,0,1,MISSING,MISSING,MISSING,>10 YRS,4.50,28224,120000,11834.97,58383.49387,365,709
4811,39.9,Intermediate,Services,Finance,MARRIED,Non- Government Job,Individual,Male,Bengaluru,Living with Family,Theft Insurance for Credit Card,Direct,>=5,>=6,0,0,0,1,1,0,"<480,000","<2,500,000",ZERO,>10 YRS,9.97,13741.04,48800,1379.63,5917.084147,364,645
4813,50.7,High School,Production/Manufacturing,Manufacturing,MARRIED,Retired,Individual,Male,Others,Own House,Home Insurance,Direct,>=5,>=6,0,0,0,1,1,1,MISSING,MISSING,MISSING,<=10 YRS,9.55,19603.84,39600,5464.55,26317.43288,390,638
4814,28.4,University,Production/Manufacturing,Manufacturing,SINGLE,Non- Government Job,Individual,Male,Others,Own House,Auto Insurance,Bank,1,3,0,0,0,0,1,0,MISSING,MISSING,MISSING,<=2 YRS,1.40,13668.48,9000,13265.84,27114.36727,394,719
4815,31.3,University,Trade/Merchandise,Information & Techonology,MARRIED,Non- Government Job,Individual,Male,Others,Living in a house owned by a family member,Theft Insurance for Credit Card,Direct,>=5,5,0,0,1,1,0,1,MISSING,MISSING,MISSING,>10 YRS,2.66,8020.08,108500,593.91,68863.41454,415,584
4816,44.2,High School,Services,Unknown,MARRIED,Non- Government Job,Individual,Male,Bengaluru,Living in a house owned by a family member,Health Insurance,Bank,2,3,0,0,0,1,1,0,"<480,000","<2,500,000",ZERO,>10 YRS,1.62,20267.01,32900,18193.68,2438.226061,356,616
4817,25.5,University,Services,Finance,SINGLE,Non- Government Job,Individual,Male,Others,Living in a house owned by a family member,Theft Insurance,Direct,4,4,0,0,0,1,0,0,MISSING,MISSING,MISSING,<=2 YRS,1.65,7111.79,13888,873.54,15715.70762,350,539
4820,44.6,University,Services,Finance,MARRIED,Non- Government Job,Privilege Banking,Male,Bengaluru,Own House,Home Insurance,Agent,3,4,0,0,1,0,0,0,MISSING,MISSING,MISSING,<=10 YRS,7.86,168000,585000,1931.3,248985.0316,232,708
4821,41.4,University,Services,Unknown,MARRIED,Non- Government Job,Privilege Banking,Male,Indore,Rented House,Home Insurance,Direct,>=5,>=6,0,0,1,0,0,1,MISSING,MISSING,MISSING,>10 YRS,2.69,15732.71,266700,900945.18,118921.9726,427,713
4822,41.9,High School,Production/Manufacturing,Manufacturing,MARRIED,Non- Government Job,Individual,Male,Others,Living in a house owned by a family member,Auto Insurance,Bank,3,3,0,0,0,0,0,0,MISSING,MISSING,MISSING,<=10 YRS,6.80,24119.84,35700,653.85,2101.4,340,686
4823,34.3,University,Services,Finance,MARRIED,Non- Government Job,Individual,Female,Bengaluru,Living in a house owned by a family member,Theft Insurance for Credit Card,Agent,2,2,0,0,0,0,1,0,MISSING,MISSING,MISSING,<=10 YRS,1.90,34400,72800,0,2634.350968,357,705
4825,40.7,University,Trade/Merchandise,Domestic Trade,SINGLE,Non- Government Job,Individual,Female,Chennai,Company Provided Housing,Theft Insurance for Credit Card,Bank,2,3,0,0,0,1,0,0,MISSING,MISSING,MISSING,<=10 YRS,2.63,147000,225000,32551.82,2284.454805,364,708
4826,32.0,High School,Production/Manufacturing,Petrochemicals,MARRIED,Non- Government Job,Individual,Male,Bengaluru,Living in a house owned by a family member,Home Insurance,Direct,>=5,5,0,0,1,0,1,0,">480,000",">=5,000,000","<1,500,000",<=10 YRS,1.86,4784,22400,7506.09,27216.44211,370,673
4827,38.8,Intermediate,Services,Unknown,SINGLE,Non- Government Job,Individual,Male,Others,Unknown,Auto Insurance,Bank,1,3,0,0,0,0,1,0,MISSING,MISSING,MISSING,<=10 YRS,3.43,10200,17850,0,1421.385454,366,707
4829,26.8,Graduate and Higher,Production/Manufacturing,Manufacturing,SINGLE,Non- Government Job,Individual,Female,Bengaluru,Living in a house owned by a family member,Auto Insurance,Direct,>=5,>=6,0,0,0,1,1,0,MISSING,MISSING,MISSING,<=10 YRS,1.88,NA,50400,17949.26,16425.69836,437,687
4831,35.9,High School,Production/Manufacturing,Manufacturing,SINGLE,Non- Government Job,Individual,Male,Indore,Unknown,Theft Insurance for Credit Card,Bank,1,2,0,0,0,0,0,0,">480,000",">=5,000,000","<1,500,000",<=10 YRS,1.91,33066.66666,69300,0,1324.31,351,701
4832,49.2,University,Construction,Construction,UNKNOWN,Non- Government Job,Privilege Banking,Male,Bengaluru,Company Provided Housing,Home Insurance,Bank,>=5,>=6,0,0,0,0,0,1,">480,000",">=5,000,000",ZERO,>10 YRS,6.90,39856.72,349300,1566281.22,441601.423,362,696
4833,52.1,Intermediate,Services,Unknown,MARRIED,Non- Government Job,Privilege Banking,Male,Bengaluru,Living in a house owned by a family member,Theft Insurance for Credit Card,Bank,>=5,>=6,0,0,0,1,1,1,MISSING,MISSING,MISSING,<=10 YRS,0.85,40990.74,182000,1012213.6,76678.79876,366,717
4835,38.2,University,Trade/Merchandise,Domestic Trade,MARRIED,Non- Government Job,Individual,Male,Others,Rented House,Theft Insurance for Credit Card,Bank,2,2,0,0,0,1,1,0,MISSING,MISSING,MISSING,<=10 YRS,1.69,26176.32,NA,0,2179.362852,368,608
4836,38.1,University,Production/Manufacturing,Petrochemicals,MARRIED,Non- Government Job,Individual,Male,Ahmedabad,Living in a house owned by a family member,Home Insurance,Direct,4,4,0,0,0,1,1,1,MISSING,MISSING,MISSING,<=10 YRS,2.43,18707.04,16000,3.43,19327.75905,380,577
4837,42.3,High School,Production/Manufacturing,Petrochemicals,SINGLE,Non- Government Job,Individual,Female,Others,Own House,Theft Insurance for Credit Card,Bank,>=5,>=6,0,0,0,1,1,0,">480,000","<5,000,000",ZERO,>10 YRS,1.40,83360.83,60900,21503.36,11333.75603,340,635
4838,39.7,University,Production/Manufacturing,Textile,MARRIED,Non- Government Job,Individual,Male,Hyderabad,Own House,Home Insurance,Direct,2,3,1,0,0,1,0,0,MISSING,MISSING,MISSING,>10 YRS,4.99,10988.53,NA,4936.96,137.7476705,392,697
4839,49.3,University,Production/Manufacturing,Manufacturing,MARRIED,Retired,Individual,Male,Ahmedabad,Own House,Home Insurance,Bank,>=5,>=6,0,0,1,1,1,1,MISSING,MISSING,MISSING,>10 YRS,13.17,52529.52,102400,408467.34,51749.67363,419,707
4840,29.4,University,Production/Manufacturing,Manufacturing,SINGLE,Non- Government Job,Individual,Male,Ahmedabad,Own House,Auto Insurance,Direct,>=5,5,0,0,0,1,1,0,MISSING,MISSING,MISSING,<=10 YRS,1.89,17998.29,89600,3853.99,10746.06292,407,596
4841,40.1,University,Services,Finance,MARRIED,Non- Government Job,Privilege Banking,Male,Chennai,Living with Family,Theft Insurance for Credit Card,Agent,2,4,0,0,0,1,0,0,MISSING,MISSING,MISSING,<=10 YRS,1.99,189000,151900,2226.56,15419.69383,351,651
4842,40.3,Intermediate,Construction,Construction,MARRIED,Non- Government Job,Individual,Male,Bengaluru,Own House,Auto Insurance,Direct,>=5,>=6,0,0,0,1,1,1,MISSING,MISSING,MISSING,>10 YRS,4.74,16471.17,79200,131019.49,42794.68021,412,667
4843,42.9,Intermediate,Transportation/Logistics/Telecom,Telecom,MARRIED,Non- Government Job,Individual,Male,Bengaluru,Living in a house owned by a family member,Theft Insurance for Credit Card,Bank,1,2,0,1,0,0,1,0,MISSING,MISSING,MISSING,>10 YRS,4.96,4500,9000,0,11020.25018,315,699
4845,31.3,University,Services,Health,SINGLE,Non- Government Job,Individual,Male,Bengaluru,Own House,Health Insurance,Bank,3,4,0,0,0,1,1,1,MISSING,MISSING,MISSING,>10 YRS,1.76,50100,99400,234.92,28572.21778,382,707
4847,47.7,Intermediate,Services,Unknown,MARRIED,Non- Government Job,Individual,Male,Bengaluru,Own House,Auto Insurance,Bank,3,4,0,0,0,1,0,1,">480,000","<5,000,000",ZERO,>10 YRS,4.79,11295.76,54600,49208.16,5257.350606,365,717
4848,39.8,University,Services,Unknown,MARRIED,Non- Government Job,Privilege Banking,Female,Bengaluru,Living in a house owned by a family member,Auto Insurance,Bank,>=5,>=6,0,0,0,0,1,1,MISSING,MISSING,MISSING,>10 YRS,6.54,NA,0,13258.07,1821.951209,356,712
4850,39.0,High School,Services,Education,MARRIED,Non- Government Job,Individual,Male,Bengaluru,Living in a house owned by a family member,Auto Insurance,Bank,4,4,0,0,0,1,1,1,"<120,000",ZERO,ZERO,<=10 YRS,8.48,9848.32,38500,1651.86,7530.77013,360,707
4851,30.5,Graduate and Higher,Services,Education,MARRIED,Non- Government Job,Individual,Male,Bengaluru,Living with Family,Theft Insurance for Credit Card,Bank,>=5,>=6,0,0,0,0,1,0,"<480,000","<2,500,000",ZERO,>10 YRS,1.90,14990.8,169200,19208.8,5819.274272,355,689
4852,25.6,University,Services,Finance,MARRIED,Non- Government Job,Individual,Female,Others,Living in a house owned by a family member,Health Insurance,Direct,>=5,>=6,0,0,0,1,1,1,MISSING,MISSING,MISSING,<=5 YRS,1.85,58283.37,10500,700,2596.368426,355,593
4854,45.1,University,Production/Manufacturing,Manufacturing,MARRIED,Non- Government Job,Individual,Male,Others,Living in a house owned by a family member,Home Insurance,Direct,>=5,5,0,0,1,0,1,0,"<480,000","<2,500,000",ZERO,<=10 YRS,7.27,24637.12,35000,1690.8,24217.74721,371,652
4855,28.2,High School,Services,Cleaning Services,SINGLE,Non- Government Job,Individual,Male,Bengaluru,Living in a house owned by a family member,Health Insurance,Bank,>=5,>=6,0,0,0,1,0,0,MISSING,MISSING,MISSING,<=10 YRS,1.55,21866.66666,39900,154.72,15461.20883,360,582
4856,39.8,University,Services,Finance,MARRIED,Non- Government Job,Privilege Banking,Male,Bengaluru,Living in a house owned by a family member,Home Insurance,Direct,>=5,5,0,0,1,1,1,1,MISSING,MISSING,MISSING,<=10 YRS,2.69,65849.28,262500,7080.48,244014.9207,371,675
4858,43.1,University,Services,Finance,MARRIED,Non- Government Job,Privilege Banking,Male,Indore,Own House,Auto Insurance,Direct,>=5,>=6,0,1,1,1,1,1,MISSING,MISSING,MISSING,>10 YRS,12.46,41306.88,54450,93003.84,18016.91282,354,682
4861,28.3,University,Services,Unknown,SINGLE,Non- Government Job,Individual,Male,Bengaluru,Living in a house owned by a family member,Auto Insurance,Bank,4,4,0,1,0,1,1,0,MISSING,MISSING,MISSING,<=5 YRS,2.52,NA,NA,1051.26,24288.67575,359,613
4863,54.3,Graduate and Higher,Trade/Merchandise,Information & Techonology,SINGLE,Non- Government Job,Privilege Banking,Male,Indore,Living in a house owned by a family member,Small and Medium Enterprises Insurance,Bank,>=5,>=6,0,0,1,1,1,1,MISSING,MISSING,MISSING,<=5 YRS,1.79,147000,337400,7.84,89263.89052,363,704
4864,37.1,University,Services,Finance,MARRIED,Non- Government Job,Individual,Male,Others,Living in a house owned by a family member,Health Insurance,Direct,4,4,0,1,0,1,1,1,MISSING,MISSING,MISSING,<=10 YRS,6.54,8159.4,16100,51587.6,1980.061241,407,714
4865,30.7,University,Production/Manufacturing,Manufacturing,MARRIED,Non- Government Job,Individual,Male,Others,Living in a house owned by a family member,Auto Insurance,Direct,>=5,>=6,0,1,0,1,1,0,MISSING,MISSING,MISSING,<=5 YRS,1.88,54687.96,136800,2495.25,61535.40588,397,558
4866,43.6,University,Services,Unknown,MARRIED,Non- Government Job,Individual,Male,Bengaluru,Own House,Home Insurance,Bank,1,3,0,0,0,1,0,0,MISSING,MISSING,MISSING,<=5 YRS,3.85,36533.33334,89600,0,3970.127414,353,610
4867,45.5,University,Production/Manufacturing,Petrochemicals,MARRIED,Self Employed,Privilege Banking,Female,Indore,Own House,Auto Insurance,Agent,3,4,0,1,0,0,1,0,MISSING,MISSING,MISSING,<=2 YRS,1.60,189000,225000,1917.76,37122.7346,364,679
4868,46.8,Graduate and Higher,Services,Health,DIVORCED,Non- Government Job,Individual,Male,Bengaluru,Own House,Theft Insurance for Credit Card,Bank,>=5,>=6,0,0,1,1,0,1,MISSING,MISSING,MISSING,<=10 YRS,2.72,40000,87500,1730.68,88237.88785,348,582
4869,58.8,University,Production/Manufacturing,Manufacturing,MARRIED,Non- Government Job,Privilege Banking,Male,Bengaluru,Own House,Auto Insurance,Bank,>=5,>=6,0,0,0,0,0,1,">480,000",">=5,000,000","<1,500,000",<=10 YRS,1.89,147000,420000,3520256.88,724164.5544,373,717
4871,48.7,University,Services,Unknown,MARRIED,Government Job,Individual,Female,Mumbai,Own House,Auto Insurance,Agent,1,3,0,0,0,0,0,0,"<360,000","<2,500,000","<1,500,000",<=5 YRS,2.19,24315.55,NA,188.08,3764.319546,397,699
4873,25.4,University,Production/Manufacturing,Manufacturing,SINGLE,Non- Government Job,Individual,Female,Bengaluru,Living with Family,Auto Insurance,Direct,>=5,>=6,0,0,0,1,0,1,MISSING,MISSING,MISSING,<=5 YRS,3.68,16715.72,35000,71538.96,6669.398367,318,692
4874,46.8,High School,Production/Manufacturing,Manufacturing,MARRIED,Non- Government Job,Individual,Male,Bengaluru,Own House,Theft Insurance for Credit Card,Bank,1,3,0,0,0,0,0,0,"<360,000","<2,500,000","<1,000,000",<=10 YRS,1.86,16200,32400,0,1290.342636,354,693
4875,35.5,Graduate and Higher,Construction,Construction,MARRIED,Non- Government Job,Individual,Male,Bengaluru,Living in a house owned by a family member,Home Insurance,Bank,>=5,>=6,0,0,1,0,1,0,MISSING,MISSING,MISSING,>10 YRS,4.50,39300,84800,7426.32,30335.51982,402,684
4877,36.4,Intermediate,Production/Manufacturing,Manufacturing,MARRIED,Non- Government Job,Individual,Male,Hyderabad,Living in a house owned by a family member,Credit Card Insurance,Bank,1,2,0,0,0,1,1,1,MISSING,MISSING,MISSING,<=10 YRS,1.83,NA,140700,0,10807.10118,401,712
4879,36.1,University,Services,Finance,MARRIED,Non- Government Job,Privilege Banking,Male,Bengaluru,Living in a house owned by a family member,Home Insurance,Direct,3,4,0,0,1,0,0,1,">480,000",">=5,000,000",ZERO,<=10 YRS,5.52,58504.46,NA,1248957.78,162296.2331,368,679
4880,54.8,University,Services,Education,MARRIED,Non- Government Job,Individual,Female,Bengaluru,Living in a house owned by a family member,Auto Insurance,Bank,>=5,5,0,1,0,1,0,1,">480,000",">=5,000,000",ZERO,>10 YRS,1.14,67649.36,135000,174665.89,52314.00259,356,643
4881,34.2,Intermediate,Services,Unknown,SINGLE,Non- Government Job,Individual,Male,Bengaluru,Living in a house owned by a family member,Auto Insurance,Direct,3,5,0,0,0,0,1,1,">480,000",">=5,000,000",ZERO,<=10 YRS,2.81,84142.03,138250,17621.28,1895.036625,350,714
4882,28.3,University,Production/Manufacturing,Automotive,MARRIED,Non- Government Job,Individual,Female,Bengaluru,Living with Family,Theft Insurance for Credit Card,Bank,2,2,0,0,0,0,1,0,MISSING,MISSING,MISSING,<=2 YRS,1.62,9450,24300,6774.16,780.3645715,330,706
4883,59.3,Intermediate,Trade/Merchandise,Gas Stattion,MARRIED,Non- Government Job,Privilege Banking,Male,Bengaluru,Own House,Home Insurance,Bank,4,>=6,0,0,0,0,1,1,">480,000",">=5,000,000","<1,500,000",<=10 YRS,15.85,36166.66667,104000,1650107.61,441839.1497,366,704
4884,35.2,High School,Services,Health,MARRIED,Non- Government Job,Individual,Male,Bengaluru,Living in a house owned by a family member,Credit Card Insurance,Direct,1,3,0,0,0,1,0,0,MISSING,MISSING,MISSING,<=10 YRS,1.86,6345,44100,0,5323.323207,369,661
4885,30.3,High School,Production/Manufacturing,Petrochemicals,SINGLE,Non- Government Job,Privilege Banking,Male,Chennai,Rented House,Auto Insurance,Bank,3,4,0,0,0,0,0,0,">480,000",">=5,000,000",ZERO,<=5 YRS,3.61,86089.04,84000,27642.64,2280.41591,331,682
4887,40.3,High School,Services,Finance,SINGLE,Non- Government Job,Individual,Male,Bengaluru,Living in a house owned by a family member,Health Insurance,Bank,4,4,0,0,0,1,1,1,MISSING,MISSING,MISSING,>10 YRS,1.88,31033.33333,86400,4410.63,38606.34053,360,576
4889,33.3,High School,Services,Tourism,MARRIED,Non- Government Job,Individual,Male,Bengaluru,Living in a house owned by a family member,Home Insurance,Bank,>=5,>=6,0,0,1,1,0,0,MISSING,MISSING,MISSING,<=10 YRS,1.89,36997.83,95200,937.89,61044.78563,331,592
4891,40.8,Graduate and Higher,Production/Manufacturing,Durable Goods,UNKNOWN,Non- Government Job,Individual,Male,Others,Company Provided Housing,Home Insurance,Bank,>=5,5,0,0,1,0,1,0,MISSING,MISSING,MISSING,<=2 YRS,1.91,33333.33334,70000,69918.56,181898.1234,378,643
4892,33.5,High School,Services,Unknown,MARRIED,Non- Government Job,Individual,Female,Others,Own House,Auto Insurance,Bank,2,2,0,0,0,0,1,0,"<480,000","<5,000,000","<1,000,000",<=10 YRS,4.37,23100,66600,0,4083.224091,297,707
4893,34.0,Intermediate,Services,Tourism,SINGLE,Non- Government Job,Individual,Male,Bengaluru,Living in a house owned by a family member,Health Insurance,Bank,4,5,0,0,0,1,1,1,MISSING,MISSING,MISSING,<=10 YRS,1.89,26493.84,23400,21948.03,21859.26602,405,635
4894,35.1,University,Services,Finance,MARRIED,Non- Government Job,Individual,Female,Bengaluru,Living in a house owned by a family member,Home Insurance,Bank,>=5,>=6,0,0,0,1,1,1,MISSING,MISSING,MISSING,<=10 YRS,3.68,12250,28000,15095.43,2425.117515,367,656
4895,36.3,University,Production/Manufacturing,Automotive,MARRIED,Non- Government Job,Individual,Male,Chandigarh,Living in a house owned by a family member,Health Insurance,Agent,0,0,0,0,0,1,0,1,">480,000",">=5,000,000","<1,500,000",<=10 YRS,1.89,46456,NA,0,10696.21277,373,666
4898,33.6,High School,Trade/Merchandise,Domestic Trade,MARRIED,Non- Government Job,Individual,Male,Bengaluru,Living in a house owned by a family member,Home Insurance,Direct,0,1,0,0,0,1,1,1,"<360,000","<2,500,000","<1,000,000",<=10 YRS,1.88,31333.41,48600,0,115025.7491,369,719
4899,36.6,University,Production/Manufacturing,Textile,MARRIED,Non- Government Job,Individual,Female,Bengaluru,Living in a house owned by a family member,Home Insurance,Direct,4,>=6,0,0,1,0,0,0,MISSING,MISSING,MISSING,>10 YRS,5.70,30711.31,67500,55926.4,35610.8018,268,712
4900,31.5,University,Production/Manufacturing,Textile,SINGLE,Non- Government Job,Individual,Male,Ahmedabad,Living in a house owned by a family member,Auto Insurance,Direct,4,5,0,0,0,1,1,1,MISSING,MISSING,MISSING,<=10 YRS,1.88,12199.6,56700,3859.87,6101.569727,367,696
4901,34.8,Intermediate,Production/Manufacturing,Manufacturing,MARRIED,Non- Government Job,Individual,Female,Hyderabad,Living in a house owned by a family member,Health Insurance,Direct,4,4,0,0,0,1,1,1,"<360,000","<2,500,000",ZERO,>10 YRS,2.15,10932.6,42400,3107.97,12789.43691,369,654
4902,53.8,University,Production/Manufacturing,Petrochemicals,MARRIED,Non- Government Job,Individual,Male,Bengaluru,Company Provided Housing,Auto Insurance,Bank,3,3,0,0,0,0,0,0,">480,000","<5,000,000","<1,500,000",<=10 YRS,5.65,33300,77400,2.64,1878.139295,373,591
4903,34.2,University,Construction,Construction,MARRIED,Non- Government Job,Privilege Banking,Male,Bengaluru,Living with Family,Auto Insurance,Direct,1,1,0,0,0,0,1,0,">480,000",">=5,000,000","<1,500,000",<=2 YRS,6.52,189000,211200,0,533.41,365,705
4904,30.0,University,Transportation/Logistics/Telecom,Telecom,SINGLE,Non- Government Job,Individual,Male,Indore,Living with Family,Health Insurance,Direct,>=5,>=6,0,0,0,1,1,1,"<480,000","<2,500,000",ZERO,<=5 YRS,1.89,18735.36,119700,10527.37,22185.24928,348,709
4905,37.0,University,Production/Manufacturing,Manufacturing,SINGLE,Non- Government Job,Individual,Female,Hyderabad,Living in a house owned by a family member,Auto Insurance,Bank,0,2,0,0,0,0,0,0,MISSING,MISSING,MISSING,<=10 YRS,1.79,20250,31500,0,536.0369319,373,703
4906,31.6,Graduate and Higher,Production/Manufacturing,Manufacturing,SINGLE,Non- Government Job,Individual,Male,Hyderabad,Living in a house owned by a family member,Auto Insurance,Direct,>=5,5,0,0,0,0,1,0,MISSING,MISSING,MISSING,<=2 YRS,1.19,20353.12,86100,5191.38,6503.467692,385,600
4907,37.8,University,Services,Health,MARRIED,Non- Government Job,Privilege Banking,Male,Bengaluru,Living with Family,Theft Insurance for Credit Card,Direct,>=5,5,0,0,0,1,0,0,">480,000",">=5,000,000","<1,500,000",<=10 YRS,3.06,5250,170100,7204.61,2739.327878,392,664
4908,44.8,High School,Production/Manufacturing,Manufacturing,MARRIED,Non- Government Job,Individual,Male,Others,Living in a house owned by a family member,Health Insurance,Direct,>=5,5,0,0,0,1,1,0,"<360,000","<2,500,000",ZERO,<=10 YRS,1.88,25000.88,90400,92.16,12460.03637,360,588
4909,27.9,University,Production/Manufacturing,Manufacturing,MARRIED,Self Employed,Company,Female,Chandigarh,Living in a house owned by a family member,Auto Insurance,Agent,>=5,>=6,1,0,0,0,1,1,MISSING,MISSING,MISSING,<=10 YRS,0.52,189000,210000,2348728.2,53010.61965,901,719
4910,32.5,Graduate and Higher,Production/Manufacturing,Petrochemicals,MARRIED,Non- Government Job,Individual,Female,Ahmedabad,Living with Family,Home Insurance,Direct,3,3,0,0,0,1,1,0,MISSING,MISSING,MISSING,<=5 YRS,3.81,NA,54000,7327.62,48398.37892,355,683
4912,35.3,University,Production/Manufacturing,Petrochemicals,SINGLE,Non- Government Job,Individual,Male,Chennai,Living in a house owned by a family member,Home Insurance,Bank,3,4,0,0,1,0,1,0,"<480,000","<2,500,000","<1,500,000",<=10 YRS,2.73,NA,NA,960.05,22877.52283,392,658
4913,27.3,University,Trade/Merchandise,Domestic Trade,SINGLE,Non- Government Job,Individual,Male,Ahmedabad,Living in a house owned by a family member,Theft Insurance for Credit Card,Direct,4,5,0,0,0,0,1,0,">480,000","<5,000,000","<1,500,000",<=2 YRS,7.81,22784.49,76500,5078.08,1099.224633,351,650
